epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2309.83,2.49771,2.0995,1.48034,0.20925,0.12562,0.07008,0.02357,2.92128,2.54951,1.65775,0.0013004,0.0013004,0.0013004
55,2457.75,2.48229,2.09021,1.47916,0.20827,0.12735,0.07042,0.02389,2.91737,2.66688,1.65304,0.0012872,0.0012872,0.0012872
56,2612.55,2.48883,2.07977,1.47989,0.19394,0.1196,0.06758,0.02461,2.89859,2.57945,1.69496,0.001274,0.001274,0.001274
57,2734.99,2.47455,2.0761,1.47863,0.15443,0.11886,0.05974,0.02036,2.86709,2.60525,1.62309,0.0012608,0.0012608,0.0012608
58,2855.87,2.49967,2.09423,1.48091,0.19237,0.12366,0.0687,0.02385,2.87107,2.60348,1.67222,0.0012476,0.0012476,0.0012476
59,2993.43,2.45324,2.0671,1.46796,0.18827,0.11739,0.06576,0.02319,2.84912,2.60117,1.678,0.0012344,0.0012344,0.0012344
60,3124.44,2.43857,2.06278,1.4696,0.17614,0.11037,0.06354,0.02202,2.93137,2.5742,1.63608,0.0012212,0.0012212,0.0012212
61,3249.97,2.46069,2.05416,1.46598,0.19978,0.12698,0.07418,0.02672,2.87092,2.53468,1.67008,0.001208,0.001208,0.001208
62,3379.31,2.45394,2.06168,1.45903,0.20097,0.13565,0.07168,0.02254,2.87662,2.53015,1.6641,0.0011948,0.0011948,0.0011948
63,3506.19,2.45343,2.03661,1.4599,0.17669,0.11776,0.05591,0.01806,2.9403,2.63148,1.67962,0.0011816,0.0011816,0.0011816
64,3663.64,2.45317,2.04989,1.45491,0.19365,0.12145,0.06787,0.02265,2.89498,2.51459,1.63634,0.0011684,0.0011684,0.0011684
65,3806.4,2.44959,2.04813,1.46502,0.18042,0.11702,0.06686,0.02374,2.86123,2.56975,1.66238,0.0011552,0.0011552,0.0011552
66,3923.03,2.42126,2.04011,1.45877,0.2041,0.12625,0.07646,0.02522,2.85128,2.53107,1.65866,0.001142,0.001142,0.001142
67,4046.77,2.43713,2.03457,1.4618,0.19833,0.12108,0.06588,0.0232,2.90159,2.55726,1.66546,0.0011288,0.0011288,0.0011288
68,4174.74,2.4416,2.03766,1.45865,0.20214,0.12661,0.07409,0.02632,2.89539,2.52987,1.65607,0.0011156,0.0011156,0.0011156
69,4286.98,2.42395,2.03259,1.44801,0.21024,0.1135,0.07363,0.02598,2.82967,2.52322,1.65791,0.0011024,0.0011024,0.0011024
70,4401.36,2.41602,2.01455,1.45701,0.19725,0.12661,0.06676,0.02191,2.8812,2.5257,1.68893,0.0010892,0.0010892,0.0010892
71,4518.32,2.43481,2.04833,1.45626,0.20896,0.13843,0.07608,0.02613,2.7987,2.48485,1.63834,0.001076,0.001076,0.001076
72,4639.7,2.3987,2.01215,1.43856,0.19174,0.13806,0.07199,0.02432,2.85455,2.51123,1.67371,0.0010628,0.0010628,0.0010628
73,4765.01,2.4146,2.0066,1.44024,0.18979,0.134,0.07045,0.02335,2.8506,2.52276,1.68349,0.0010496,0.0010496,0.0010496
74,4881.62,2.41981,2.00264,1.43263,0.20585,0.12772,0.06864,0.02354,2.88829,2.53301,1.65215,0.0010364,0.0010364,0.0010364
75,4992.78,2.38879,1.98904,1.43448,0.20103,0.11665,0.07103,0.02295,2.88123,2.53236,1.63954,0.0010232,0.0010232,0.0010232
76,5084.96,2.39073,1.98404,1.4276,0.1879,0.12071,0.06897,0.02305,2.86643,2.50781,1.6474,0.00101,0.00101,0.00101
77,5177.61,2.40301,1.99331,1.44047,0.19373,0.12403,0.07037,0.02495,2.8564,2.55681,1.65302,0.0009968,0.0009968,0.0009968
78,5271.92,2.39364,1.99248,1.42994,0.18632,0.1399,0.07628,0.02639,2.85793,2.53541,1.65391,0.0009836,0.0009836,0.0009836
79,5365.71,2.40819,1.99947,1.42765,0.21258,0.13104,0.076,0.02614,2.85627,2.49805,1.62735,0.0009704,0.0009704,0.0009704
80,5467.09,2.37992,1.96679,1.43673,0.18022,0.12735,0.07124,0.02372,2.8693,2.55369,1.65983,0.0009572,0.0009572,0.0009572
